PC Name	User Name	Time Stamp	Active Process Name	Event Classification	KeyCode	Mouse Coordinates X	Mouse Coordinates Y
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:35.390	PccNTMon.exe	mouse_move		0	0
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:37.370	PccNTMon.exe	mouse_move		175	1045
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:37.635	PccNTMon.exe	Right_Click		165	1052
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:37.667	Explorer.EXE	mouse_move		165	1052
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:41.486	Explorer.EXE	mouse_move		164	1054
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:41.533	Explorer.EXE	Left_Click		146	496
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:42.328	Explorer.EXE	mouse_move		146	496
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:43.404	Explorer.EXE	Right_Click		148	1070
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:43.607	Explorer.EXE	mouse_move		148	1070
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:44.527	Explorer.EXE	Left_Click		117	714
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:44.901	Explorer.EXE	mouse_move		117	714
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:45.290	Explorer.EXE	mouse_move		117	713
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:45.431	Explorer.EXE	mouse_move		117	708
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:46.740	Explorer.EXE	Left_Click		473	390
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:46.912	Explorer.EXE	Left_Click		473	390
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:47.068	Explorer.EXE	mouse_move		473	390
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:47.473	Explorer.EXE	mouse_move		473	389
A16PCH102-S1TS	riko.yorita	2018/11/20 08:52:47.925	Explorer.EXE	mouse_move		462	381
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:37.878	EXCEL.EXE	mouse_move		450	380
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:39.453	EXCEL.EXE	Left_Click		810	95
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:39.671	EXCEL.EXE	mouse_move		810	95
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:45.112	EXCEL.EXE	mouse_move		840	720
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:45.299	EXCEL.EXE	mouse_move		1019	750
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:46.219	EXCEL.EXE	mouse_move		914	806
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:46.827	EXCEL.EXE	mouse_move		925	821
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:47.311	EXCEL.EXE	mouse_move		925	822
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:47.622	EXCEL.EXE	mouse_move		926	822
A16PCH102-S1TS	riko.yorita	2018/11/20 08:53:48.698	EXCEL.EXE	mouse_move		830	868
